city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Saint-Cloud,48.84,2.22,France,FR,Île-de-France,,30038,30012
Vandœuvre-lès-Nancy,48.6567,6.1683,France,FR,Grand Est,,30009,29942
Savigny-le-Temple,48.5841,2.5832,France,FR,Île-de-France,,29987,29987
Ris-Orangis,48.6537,2.4161,France,FR,Île-de-France,,29745,29745
La Garenne-Colombes,48.9056,2.2445,France,FR,Île-de-France,,29642,29642
Maubeuge,50.2775,3.9734,France,FR,Hauts-de-France,,29632,29589
Guyancourt,48.7714,2.0739,France,FR,Île-de-France,,29471,29471
Yerres,48.7171,2.4881,France,FR,Île-de-France,,29338,29318
Saint-Laurent-du-Var,43.668,7.188,France,FR,Provence-Alpes-Côte d’Azur,,29169,29169
Ermont,48.9922,2.2603,France,FR,Île-de-France,,29079,28939
Sotteville-lès-Rouen,49.4092,1.09,France,FR,Normandie,,29068,29068
Clichy-sous-Bois,48.9102,2.5532,France,FR,Île-de-France,,28992,28782
Décines-Charpieu,45.7694,4.9594,France,FR,Auvergne-Rhône-Alpes,,28930,28930
Villiers-sur-Marne,48.8275,2.5447,France,FR,Île-de-France,,28895,28895
Bois-Colombes,48.9175,2.2683,France,FR,Île-de-France,,28841,28841
Draveil,48.6852,2.408,France,FR,Île-de-France,,28741,28602
Soissons,49.3817,3.3236,France,FR,Hauts-de-France,minor,28712,28712
Fresnes,48.755,2.3221,France,FR,Île-de-France,,28710,28710
Dieppe,49.92,1.08,France,FR,Normandie,minor,28561,28241
Saint-Étienne-du-Rouvray,49.3786,1.105,France,FR,Normandie,,28500,28352
Villiers-le-Bel,49.0094,2.3911,France,FR,Île-de-France,,28423,28423
Grigny,48.6562,2.3849,France,FR,Île-de-France,,28265,28201
Tournefeuille,43.5853,1.3442,France,FR,Occitanie,,28117,28117
Lomme,50.6455,2.9876,France,FR,Hauts-de-France,,28006,28006
Montfermeil,48.9,2.5667,France,FR,Île-de-France,,27928,27928
Vanves,48.8208,2.2897,France,FR,Île-de-France,,27846,27846
Limeil-Brévannes,48.7464,2.4883,France,FR,Île-de-France,,27833,27833
Le Chesnay,48.8203,2.1303,France,FR,Île-de-France,,27683,27683
Saint-Sébastien-sur-Loire,47.2081,-1.5014,France,FR,Pays de la Loire,,27493,27493
Lambersart,50.65,3.025,France,FR,Hauts-de-France,,27415,27400
Brétigny-sur-Orge,48.6114,2.3059,France,FR,Île-de-France,,27412,27412
Vallauris,43.5805,7.0538,France,FR,Provence-Alpes-Côte d’Azur,,27364,27364
Sucy-en-Brie,48.7697,2.5228,France,FR,Île-de-France,,27157,27157
Taverny,49.0264,2.2275,France,FR,Île-de-France,,26872,26872
Bussy-Saint-Georges,48.8422,2.6983,France,FR,Île-de-France,,26806,26597
Oullins,45.715,4.8083,France,FR,Auvergne-Rhône-Alpes,,26583,26553
Villeparisis,48.9503,2.6025,France,FR,Île-de-France,,26580,26580
Sannois,48.9722,2.2578,France,FR,Île-de-France,,26565,26565
Le Grand-Quevilly,49.4072,1.0531,France,FR,Normandie,,25963,25963
Alençon,48.4306,0.0931,France,FR,Normandie,minor,25870,25870
Montbéliard,47.51,6.8,France,FR,Bourgogne-Franche-Comté,minor,25809,25806
Biarritz,43.48,-1.56,France,FR,Nouvelle-Aquitaine,,25787,25787
Gradignan,44.7725,-0.6156,France,FR,Nouvelle-Aquitaine,,25694,25694
Champs-Sur-Marne,48.8529,2.6027,France,FR,Île-de-France,,25654,25654
Élancourt,48.7847,1.9589,France,FR,Île-de-France,,25624,25624
Fontenay-aux-Roses,48.7893,2.2888,France,FR,Île-de-France,,25531,25531
Blagnac,43.6364,1.3906,France,FR,Occitanie,,25525,25525
La Garde,43.1256,6.0108,France,FR,Provence-Alpes-Côte d’Azur,,25505,25505
Cenon,44.8578,-0.5317,France,FR,Nouvelle-Aquitaine,,25496,25496
Cormeilles-en-Parisis,48.9739,2.2014,France,FR,Île-de-France,,25406,25406
Brunoy,48.6979,2.5044,France,FR,Île-de-France,,25354,25330
Eaubonne,48.9922,2.2806,France,FR,Île-de-France,,25335,25335
Béthune,50.5303,2.6408,France,FR,Hauts-de-France,minor,25193,25039
Vichy,46.1278,3.4267,France,FR,Auvergne-Rhône-Alpes,minor,24980,24980
Le Kremlin-Bicêtre,48.81,2.3581,France,FR,Île-de-France,,24971,24971
Armentières,50.6881,2.8811,France,FR,Hauts-de-France,,24909,24909
Saint-Ouen-l’Aumône,49.0447,2.1111,France,FR,Île-de-France,,24674,24674
Orly,48.7439,2.3928,France,FR,Île-de-France,,24627,24627
Eysines,44.8853,-0.65,France,FR,Nouvelle-Aquitaine,,24488,24488
Rodez,44.3506,2.575,France,FR,Occitanie,minor,24475,24475
Villeneuve-la-Garenne,48.9372,2.3278,France,FR,Île-de-France,,24097,24097
La Valette-du-Var,43.1383,5.9831,France,FR,Provence-Alpes-Côte d’Azur,,24087,24087
Les Pavillons-sous-Bois,48.9,2.5,France,FR,Île-de-France,,23960,23898
Le Bouscat,44.8651,-0.5996,France,FR,Nouvelle-Aquitaine,,23924,23890
Montgeron,48.7039,2.4605,France,FR,Île-de-France,,23775,23760
Maisons-Laffitte,48.9469,2.1456,France,FR,Île-de-France,,23611,23361
Sèvres,48.8239,2.2117,France,FR,Île-de-France,,23463,23463
Les Lilas,48.88,2.42,France,FR,Île-de-France,,23447,23447
Fontaine,45.1939,5.6856,France,FR,Auvergne-Rhône-Alpes,,23211,23211
Lormont,44.8792,-0.5217,France,FR,Nouvelle-Aquitaine,,23181,23181
Vélizy-Villacoublay,48.7834,2.1834,France,FR,Île-de-France,,23092,23092
Loos,50.6128,3.0144,France,FR,Hauts-de-France,,22866,22866
Roissy-en-Brie,48.7906,2.6519,France,FR,Île-de-France,,22851,22851
Hérouville-Saint-Clair,49.2044,-0.3253,France,FR,Normandie,,22638,22555
Castelnau-le-Lez,43.6369,3.9019,France,FR,Occitanie,,22534,22534
Tassin-la-Demi-Lune,45.764,4.78,France,FR,Auvergne-Rhône-Alpes,,22403,22286
Saint-Mandé,48.8422,2.4186,France,FR,Île-de-France,,22377,22377
Torcy,48.8502,2.6508,France,FR,Île-de-France,minor,22361,22030
Le Petit-Quevilly,49.4311,1.0539,France,FR,Normandie,,22291,22000
Dammarie-lè-Lys,48.5177,2.6402,France,FR,Île-de-France,,22177,22128
Sainte-Foy-lès-Lyon,45.73,4.8,France,FR,Auvergne-Rhône-Alpes,,22175,22175
Deuil-la-Barre,48.9767,2.3272,France,FR,Île-de-France,,22165,22149
La Madeleine,50.6558,3.071,France,FR,Hauts-de-France,,21968,21856
Montigny-lès-Metz,49.1006,6.1539,France,FR,Grand Est,,21879,21879
Combs-la-Ville,48.67,2.56,France,FR,Île-de-France,,21811,21627
Arcueil,48.8075,2.3361,France,FR,Île-de-France,,21788,21788
Montmorency,48.9906,2.3228,France,FR,Île-de-France,,21723,21723
